Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
17/05/2021 16:54,BNBUSDT,BUY,503.46,0.0654000000BNB,32.92628400USDT,0.0000490500BNB,32.926284
15/05/2021 22:17,MATICUSDT,SELL,1.71,8.8000000000MATIC,15.06507200USDT,0.0000194000BNB,15.065072
15/05/2021 21:48,KSMUSDT,SELL,574.32,0.0312000000KSM,17.91878400USDT,0.0000231000BNB,17.918784
13/05/2021 12:17,ETHUSDT,BUY,3773.68,0.0615400000ETH,232.23226720USDT,0.0002932800BNB,232.2322672
12/05/2021 14:10,KSMUSDT,SELL,503.41,0.0496000000KSM,24.96913600USDT,0.0000281500BNB,24.969136
12/05/2021 14:07,INJUSDT,SELL,21.11,1.4580000000INJ,30.77546400USDT,0.0000346700BNB,30.775464
10/05/2021 19:59,ADAUSDT,BUY,1.65,30.1100000000ADA,49.77785200USDT,0.0000582300BNB,49.777852
09/05/2021 18:48,VETUSDT,BUY,0.23,218.4000000000VET,49.67289600USDT,0.0000563700BNB,49.672896
09/05/2021 18:30,LINKUSDT,SELL,51.09,0.4140000000LINK,21.15001800USDT,0.0000239200BNB,21.150018
09/05/2021 18:28,MATICUSDT,SELL,0.99,33.6000000000MATIC,33.19881600USDT,0.0000375100BNB,33.198816
09/05/2021 18:28,RSRUSDT,BUY,0.09,348.6000000000RSR,30.22013400USDT,0.0000342100BNB,30.220134
09/05/2021 18:24,INJUSDT,BUY,19.53,2.1320000000INJ,41.63582800USDT,0.0000471000BNB,41.635828
09/05/2021 18:24,INJUSDT,BUY,19.53,0.8760000000INJ,17.10828000USDT,0.0000193500BNB,17.10828
09/05/2021 18:23,INJUSDT,SELL,19.49,1.5850000000INJ,30.88531000USDT,0.0000349700BNB,30.88531
08/05/2021 18:19,DOGEUSDT,SELL,0.65,76.7000000000DOGE,50.21088800USDT,0.0000583400BNB,50.210888
08/05/2021 13:00,DOGEUSDT,SELL,0.72,42.5000000000DOGE,30.81207500USDT,0.0000365300BNB,30.812075
07/05/2021 14:13,XMRUSDT,SELL,510.67,0.0201400000XMR,10.28489380USDT,0.0000122700BNB,10.2848938
07/05/2021 14:05,EGLDUSDT,BUY,192.25,0.1595000000EGLD,30.66387500USDT,0.0000364600BNB,30.663875
07/05/2021 13:58,AVAUSDT,BUY,5.12,2.9700000000AVA,15.20640000USDT,0.0000181200BNB,15.2064
07/05/2021 13:58,AVAUSDT,BUY,5.12,0.8200000000AVA,4.19840000USDT,0.0000050000BNB,4.1984
07/05/2021 13:58,INJUSDT,BUY,18.05,2.6790000000INJ,48.36130800USDT,0.0000576200BNB,48.361308
07/05/2021 13:57,BNBUSDT,BUY,630.89,0.0868000000BNB,54.76125200USDT,0.0000651000BNB,54.761252
07/05/2021 13:57,CHZUSDT,BUY,0.52,58.9000000000CHZ,30.41183700USDT,0.0000361800BNB,30.411837
06/05/2021 14:55,BNBUSDT,BUY,641.37,0.1631000000BNB,104.60744700USDT,0.0001223200BNB,104.607447
